order_id,customer_id,product_id,order_date,quantity,unit_price,payment_method,order_status
ORD-00097,CUST-00445,PROD-0018,2025-01-29,1,79.99,Klarna,Delivered
ORD-00098,CUST-00156,PROD-0026,2025-01-29,4,74.99,Credit Card,Delivered
ORD-00099,CUST-00109,PROD-0049,2025-01-30,1,29.99,Credit Card,Cancelled
ORD-00100,CUST-00220,PROD-0046,2025-01-30,1,17.99,PayPal,Delivered
ORD-00101,CUST-00011,PROD-0030,2025-01-31,1,27.99,Debit Card,Delivered
ORD-00102,CUST-00179,PROD-0006,2025-01-31,2,14.99,PayPal,Delivered
ORD-00103,CUST-00051,PROD-0002,2025-01-31,3,24.99,Klarna,Delivered
ORD-00104,CUST-00312,PROD-0020,2025-01-31,2,89.00,Apple Pay,Delivered
ORD-00105,CUST-00105,PROD-0046,2025-02-01,1,17.99,Apple Pay,Delivered
ORD-00106,CUST-00447,PROD-0045,2025-02-01,1,13.99,Debit Card,delivered
ORD-00241,CUST-00498,PROD-0002,2025-03-08,1,24.99,Credit Card,Returned
ORD-00107,CUST-00193,PROD-0004,2025-02-01,1,44.99,PayPal,Delivered
ORD-00108,CUST-00300,PROD-0024,2025-02-01,1,19.99,Credit Card,Delivered
ORD-00109,CUST-00173,PROD-0002,03/02/2025,2,24.99,PayPal,Returned
ORD-00110,CUST-00287,PROD-0002,2025-02-04,1,24.99,Debit Card,Cancelled
ORD-00111,CUST-00196,PROD-0043,2025-02-04,1,34.99,Credit Card,Delivered
ORD-00112,CUST-00072,PROD-0013,2025-02-04,1,18.50,Apple Pay,Cancelled
ORD-00113,CUST-00234,PROD-0035,2025-02-04,1,18.99,Klarna,Returned
ORD-00114,CUST-00013,PROD-0039,2025-02-04,1,7.49,Credit Card,Delivered
ORD-00115,CUST-00074,PROD-0049,05/02/2025,1,29.99,Gift Card,Delivered
ORD-00116,CUST-00382,PROD-0038,2025-02-05,1,34.99,Klarna,Delivered
ORD-00117,CUST-00064,PROD-0041,2025-02-05,1,12.99,Credit Card,Delivered
ORD-00118,CUST-00300,PROD-0018,2025-02-06,1,79.99,PayPal,Refunded
ORD-00119,CUST-00072,PROD-0048,2025-02-06,1,9.49,Credit Card,Delivered
ORD-00120,CUST-00487,PROD-0022,2025-02-07,2,12.99,PayPal,Delivered
ORD-00121,CUST-00315,PROD-0001,2025-02-07,1,59.99,PayPal,Delivered
ORD-00122,CUST-00320,PROD-0013,2025-02-08,1,18.50,Klarna,Delivered
ORD-00123,CUST-00090,PROD-0012,2025-02-08,2,15.99,Credit Card,Cancelled
ORD-00124,CUST-00209,PROD-0025,2025-02-08,1,17.99,Apple Pay,Delivered
ORD-00125,CUST-00122,PROD-0002,2025-02-08,1,24.99,Credit Card,Returned
ORD-00126,CUST-00440,PROD-0043,2025-02-08,3,34.99,Debit Card,Delivered
ORD-00127,CUST-00163,PROD-0019,2025-02-08,4,24.00,Debit Card,Returned
ORD-00128,CUST-00197,PROD-0032,2025-02-09,1,14.99,Debit Card,Delivered
ORD-00129,CUST-00478,PROD-0050,2025-02-09,1,21.00,Debit Card,Delivered
ORD-00130,CUST-00030,PROD-0046,2025-02-09,1,17.99,Credit Card,Delivered
ORD-00131,CUST-00182,PROD-0001,2025-02-09,1,59.99,Klarna,Delivered
ORD-00132,CUST-00452,PROD-0041,2025-02-09,5,12.99,PayPal,Delivered
ORD-00133,CUST-00296,PROD-0047,2025-02-09,1,23.99,PayPal,Delivered
ORD-00134,CUST-00154,PROD-0041,2025-02-09,1,12.99,Credit Card,Delivered
ORD-00135,CUST-00332,PROD-0048,2025-02-10,1,9.49,Credit Card,Delivered
ORD-00136,CUST-00328,PROD-0039,2025-02-10,4,7.49,Credit Card,Delivered
ORD-00137,CUST-00268,PROD-0044,2025-02-10,3,42.00,Credit Card,Delivered
ORD-00138,CUST-00498,PROD-0025,2025-02-10,1,17.99,Credit Card,Delivered
ORD-00139,CUST-00378,PROD-0024,2025-02-11,2,19.99,Apple Pay,Delivered
ORD-00140,CUST-00188,PROD-0046,2025-02-11,1,17.99,Debit Card,Delivered
ORD-00141,CUST-00493,PROD-0040,2025-02-12,1,27.50,PayPal,Delivered
ORD-00142,CUST-00472,PROD-0046,2025-02-12,3,17.99,Credit Card,Delivered
ORD-00143,CUST-00126,PROD-0018,2025-02-12,1,79.99,Debit Card,Delivered
ORD-00144,CUST-00145,PROD-0039,2025-02-12,1,7.49,Debit Card,Cancelled
ORD-00145,CUST-00405,PROD-0001,2025-02-12,1,59.99,Credit Card,Delivered
ORD-00146,CUST-00122,PROD-0046,2025-02-13,2,17.99,Credit Card,Delivered
ORD-00147,CUST-00436,PROD-0023,2025-02-13,3,19.50,Debit Card,Delivered
ORD-00148,CUST-00493,PROD-0046,2025-02-13,2,17.99,PayPal,Delivered
ORD-00149,CUST-00404,PROD-0024,2025-02-13,1,19.99,Apple Pay,Delivered
ORD-00150,CUST-00133,PROD-0027,2025-02-14,1,99.00,Debit Card,Delivered
ORD-00151,CUST-00195,PROD-0035,2025-02-14,3,18.99,Debit Card,Delivered
ORD-00152,CUST-00020,PROD-0041,2025-02-14,2,12.99,Credit Card,Delivered
ORD-00153,CUST-00312,PROD-0046,2025-02-14,1,17.99,Credit Card,Delivered
ORD-00154,CUST-00092,PROD-0042,2025-02-14,2,26.99,Apple Pay,Refunded
ORD-00155,CUST-00302,PROD-0013,2025-02-14,1,18.50,Apple Pay,Delivered
ORD-00156,CUST-00396,PROD-0042,2025-02-15,2,26.99,Debit Card,Delivered
ORD-00157,CUST-00446,PROD-0021,2025-02-15,1,38.00,PayPal,Cancelled
ORD-00713,CUST-00323,PROD-0042,2025-06-17,1,26.99,Klarna,Delivered 
ORD-00158,CUST-00279,PROD-0047,2025-02-15,1,23.99,Debit Card,Delivered
ORD-00159,CUST-00054,PROD-0007,2025-02-16,1,89.99,Credit Card,Delivered
ORD-00160,CUST-00305,PROD-0018,2025-02-16,-1,79.99,Apple Pay,Delivered
ORD-00161,CUST-00415,PROD-0013,2025-02-17,4,18.50,Gift Card,Delivered
ORD-00162,CUST-00323,PROD-0017,2025-02-18,1,55.00,Apple Pay,Delivered
ORD-00163,CUST-00259,PROD-0017,2025-02-18,2,55.00,PayPal,Delivered
ORD-00164,CUST-00335,PROD-0044,2025-02-18,1,42.00,Credit Card,Delivered
ORD-00165,CUST-00370,PROD-0029,2025-02-18,1,13.49,Unknown,Delivered
ORD-00166,CUST-00126,PROD-0004,2025-02-18,1,44.99,Credit Card,Delivered
ORD-00167,CUST-00373,PROD-0006,2025-02-19,1,14.99,PayPal,Delivered
ORD-00168,CUST-00209,PROD-0035,2025-02-19,2,18.99,Debit Card,Delivered
ORD-00169,CUST-00455,PROD-0007,2025-02-20,1,89.99,Debit Card,Delivered
ORD-00170,CUST-00444,PROD-0003,2025-02-20,1,39.99,Debit Card,Delivered
ORD-00171,CUST-00223,PROD-0014,20-02-2025,1,179.00,PayPal,Delivered
ORD-00172,CUST-00155,PROD-0005,2025-02-20,1,129.00,Klarna,Delivered
ORD-00173,CUST-00478,PROD-0008,2025-02-20,2,94.99,PayPal,Delivered
ORD-00174,CUST-00190,PROD-0043,2025-02-21,1,34.99,Debit Card,Returned
ORD-00175,CUST-00209,PROD-0046,2025-02-21,3,17.99,Debit Card,Cancelled
ORD-00176,CUST-00030,PROD-0010,2025-02-21,1,22.99,Debit Card,Delivered
ORD-00177,CUST-00032,PROD-0043,2025-02-22,1,34.99,Credit Card,Delivered
ORD-00178,CUST-00244,PROD-0002,2025-02-22,2,24.99,Debit Card,Delivered
ORD-00179,CUST-00385,PROD-0038,2025-02-22,1,34.99,PayPal,Delivered
ORD-00180,CUST-00333,PROD-0002,2025-02-22,3,24.99,Bitcoin,Delivered
ORD-00181,CUST-00296,PROD-0043,2025-02-22,1,34.99,Debit Card,Cancelled
ORD-00182,CUST-00268,PROD-0045,2025-02-23,3,13.99,Gift Card,Delivered
ORD-00183,CUST-00436,PROD-0046,2025-02-23,1,17.99,Credit Card,Delivered
ORD-00184,CUST-00276,PROD-0046,2025-02-24,4,17.99,PayPal,Refunded
ORD-00185,CUST-00155,PROD-0038,2025-02-24,3,34.99,Klarna,Delivered
ORD-00186,CUST-00254,PROD-0029,2025-02-24,-1,13.49,Credit Card,Delivered
ORD-00187,CUST-00336,PROD-0093,2025-02-25,1,89.99,Credit Card,Delivered
ORD-00188,CUST-00092,PROD-0011,2025-02-25,1,64.00,Debit Card,Cancelled
ORD-00189,CUST-00444,PROD-0048,2025-02-25,1,9.49,Gift Card,Returned
ORD-00190,CUST-00400,PROD-0001,2025-02-25,2,59.99,Debit Card,Returned
ORD-00191,CUST-00254,PROD-0046,2025-02-25,1,17.99,Debit Card,Delivered
ORD-00192,CUST-00305,PROD-0041,31/04/2025,2,12.99,Debit Card,Delivered
ORD-00193,CUST-00377,PROD-0049,2025-02-26,2,29.99,Apple Pay,Refunded
ORD-00194,CUST-00186,PROD-0017,2025-02-26,1,55.00,Credit Card,Delivered
ORD-00195,CUST-00081,PROD-0027,2025-02-27,1,99.00,PayPal,Delivered
ORD-00196,CUST-00404,PROD-0040,2025-02-27,3,27.50,Gift Card,Delivered
ORD-00197,CUST-00382,PROD-0009,2025-02-27,3,32.50,Apple Pay,Delivered
ORD-00198,CUST-00362,PROD-0005,2025-02-27,1,129.00,PayPal,Delivered
ORD-00199,CUST-00446,PROD-0043,2025-02-27,3,34.99,PayPal,Delivered
ORD-00200,CUST-00174,PROD-0026,2025-02-27,2,74.99,Credit Card,Delivered
ORD-00201,CUST-00090,PROD-0023,2025-02-28,2,19.50,Gift Card,Delivered
ORD-00202,CUST-00048,PROD-0017,2025-02-28,1,55.00,Debit Card,Refunded
ORD-00203,CUST-00231,PROD-0021,2025-02-28,1,38.00,Credit Card,Delivered
ORD-00204,CUST-00244,PROD-0045,2025-03-01,2,13.99,Apple Pay,Delivered
ORD-00205,CUST-00219,PROD-0040,2025-03-01,1,27.50,Credit Card,Delivered
ORD-00206,CUST-00382,PROD-0026,2025-03-01,2,74.99,Debit Card,Delivered
ORD-00207,CUST-00350,PROD-0038,2025-03-01,1,34.99,Debit Card,Delivered
ORD-00208,CUST-00402,PROD-0022,2025-03-01,4,12.99,Debit Card,Delivered
ORD-00209,CUST-00130,PROD-0031,2025-03-02,1,8.99,Credit Card,Delivered
ORD-00210,CUST-00241,PROD-0043,2025-03-02,1,34.99,Debit Card,Delivered
ORD-00211,CUST-00078,PROD-0027,2025-03-02,1,99.00,Credit Card,Delivered
ORD-00212,CUST-00452,PROD-0040,2025-03-02,1,27.50,PayPal,Delivered
ORD-00213,CUST-00070,PROD-0014,2025-03-03,1,179.00,Debit Card,Delivered
ORD-00214,CUST-00214,PROD-0048,2025-03-03,2,9.49,Klarna,Delivered
ORD-00215,CUST-00188,PROD-0037,2025-03-03,1,16.99,PayPal,Delivered
ORD-00216,CUST-00474,PROD-0024,2025-03-03,1,19.99,Debit Card,Delivered
ORD-00217,CUST-00431,PROD-0045,2025-03-04,1,13.99,PayPal,Delivered
ORD-00218,CUST-00051,PROD-0032,2025-03-04,1,14.99,Debit Card,Delivered
ORD-00219,CUST-00196,PROD-0026,2025-03-04,3,74.99,Credit Card,Delivered
ORD-00220,CUST-00496,PROD-0041,2025-03-04,1,12.99,PayPal,Cancelled
ORD-00221,CUST-00154,PROD-0024,2025-03-04,1,19.99,Credit Card,Delivered
ORD-00222,CUST-00051,PROD-0025,2025-03-04,1,17.99,Credit Card,Cancelled
ORD-00223,CUST-00436,PROD-0048,2025-03-04,2,9.49,PayPal,Delivered
ORD-00224,CUST-00305,PROD-0002,2025-03-04,1,24.99,Credit Card,Delivered
ORD-00225,CUST-00383,PROD-0006,2025-03-05,1,14.99,PayPal,Returned
ORD-00226,CUST-00122,PROD-0046,2025-03-05,2,17.99,Debit Card,Delivered
ORD-00227,CUST-00242,PROD-0041,2025-03-05,4,12.99,Debit Card,Delivered
ORD-00228,CUST-00103,PROD-0026,2025-03-05,1,74.99,PayPal,Delivered
ORD-00997,CUST-00030,PROD-0017,2025-08-09,1,55.00,PayPal,Cancelled
ORD-00229,CUST-00189,PROD-0046,2025-03-06,1,17.99,Debit Card,Delivered
ORD-00230,,PROD-0013,2025-03-06,2,18.50,Debit Card,Delivered
ORD-00231,CUST-00481,PROD-0038,2025-03-06,1,34.99,Klarna,Delivered
ORD-00232,CUST-00156,PROD-0009,2025-03-06,1,32.50,PayPal,Delivered
ORD-00233,CUST-00201,PROD-0040,2025-03-07,1,27.50,Credit Card,Delivered
ORD-00234,CUST-00188,PROD-0017,2025-03-07,2,55.00,Debit Card,Delivered
ORD-00235,CUST-00177,PROD-0046,2025-03-07,1,17.99,Credit Card,Delivered
ORD-00236,CUST-00161,PROD-0048,2025-03-07,1,9.49,Debit Card,Delivered
ORD-00237,CUST-00011,PROD-0056,2025-03-07,1,13.99,Debit Card,Delivered
ORD-00238,CUST-00259,PROD-0026,2025-03-08,1,74.99,Klarna,Delivered
ORD-00239,CUST-00041,PROD-0007,08-03-2025,1,89.99,Credit Card,Cancelled
ORD-00240,CUST-00385,PROD-0007,2025-03-08,2,89.99,Credit Card,Delivered
ORD-00241,CUST-00498,PROD-0002,2025-03-08,1,24.99,Credit Card,Returned
ORD-00242,CUST-00239,PROD-0040,2025-03-08,1,27.50,Credit Card,Delivered
ORD-00243,CUST-00218,PROD-0018,09/03/2025,4,79.99,Gift Card,Delivered
ORD-00244,CUST-00067,PROD-0007,2025-03-09,5,89.99,Credit Card,Refunded
ORD-00245,CUST-00246,PROD-0040,2025-03-09,4,27.50,Debit Card,Delivered
ORD-00246,CUST-00461,PROD-0050,2025-03-10,2,21.00,Credit Card,Delivered
ORD-00247,CUST-00429,PROD-0046,2025-03-10,1,17.99,PayPal,Delivered
ORD-00248,CUST-00479,PROD-0021,2025-03-10,1,38.00,Debit Card,Delivered
ORD-00249,CUST-00401,PROD-0017,2025-03-10,1,55.00,PayPal,Delivered
ORD-00250,CUST-00090,PROD-0026,2025-03-10,1,74.99,Klarna,Delivered
ORD-00251,CUST-00127,PROD-0047,2025-03-10,1,23.99,PayPal,Cancelled
ORD-00252,CUST-00461,PROD-0048,2025-03-11,3,9.49,Credit Card,Delivered
ORD-00253,CUST-00328,PROD-0029,2025-03-11,2,13.49,Apple Pay,DELIVERED
ORD-00254,CUST-00234,PROD-0029,2025-03-11,5,13.49,Debit Card,Delivered
ORD-00255,CUST-00274,PROD-0045,2025-03-11,1,13.99,Apple Pay,Delivered
ORD-00256,CUST-00072,PROD-0005,2025-03-11,1,129.00,Debit Card,Delivered
ORD-00257,CUST-00147,PROD-0048,2025-03-11,5,9.49,Credit Card,Delivered
ORD-00258,CUST-00296,PROD-0007,11/03/2025,1,89.99,Credit Card,Cancelled
ORD-00259,CUST-00246,PROD-0044,2025-03-11,2,42.00,Credit Card,DELIVERED
ORD-00260,CUST-00007,PROD-0033,2025-03-11,1,24.00,Apple Pay,Delivered
ORD-00261,CUST-00091,PROD-0016,2025-03-11,1,21.99,PayPal,Delivered
ORD-00262,CUST-00071,PROD-0011,2025-03-12,1,64.00,Credit Card,Delivered
ORD-00263,CUST-00353,PROD-0018,2025-03-12,1,79.99,Debit Card,Delivered
ORD-00264,CUST-00126,PROD-0024,2025-03-12,1,19.99,Apple Pay,Delivered
ORD-00265,CUST-00404,PROD-0026,2025-03-12,1,74.99,Credit Card,Cancelled
ORD-00266,CUST-00195,PROD-0023,2025-03-12,2,19.50,Debit Card,Delivered
ORD-00267,CUST-00341,PROD-0008,2025-03-12,1,94.99,Credit Card,Delivered
ORD-00268,CUST-00452,PROD-0047,12-03-2025,5,23.99,Debit Card,Delivered
ORD-00269,CUST-00300,PROD-0041,2025-03-12,3,12.99,PayPal,Delivered
ORD-00270,CUST-00196,PROD-0047,12-03-2025,1,23.99,Debit Card,Delivered
ORD-00271,CUST-00472,PROD-0043,2025-03-12,1,34.99,PayPal,Delivered
ORD-00272,CUST-00180,PROD-0033,2025-03-13,1,24.00,Klarna,Refunded
ORD-00273,CUST-00332,PROD-0026,2025-03-13,3,74.99,Apple Pay,Delivered
ORD-00274,CUST-00154,PROD-0046,2025-03-13,1,17.99,Apple Pay,Delivered
ORD-00275,CUST-00385,PROD-0040,2025-03-13,2,27.50,Credit Card,Delivered
ORD-00276,CUST-00299,PROD-0035,2025-03-13,1,18.99,Apple Pay,Delivered
ORD-00277,CUST-00366,PROD-0048,2025-03-13,3,9.49,Debit Card,Delivered
ORD-01161,CUST-00353,PROD-0046,2025-09-11,2,17.99,Credit Card,Delivered
ORD-00278,CUST-00424,PROD-0012,2025-03-14,1,15.99,Credit Card,Delivered
ORD-00279,CUST-00042,PROD-0040,2025-03-14,5,27.50,Credit Card,Cancelled
ORD-00280,CUST-00391,PROD-0004,2025-03-14,2,44.99,Debit Card,Delivered
ORD-00281,CUST-00389,PROD-0026,15/03/2025,1,74.99,Debit Card,Returned
ORD-00282,CUST-00390,PROD-0035,2025-03-15,1,18.99,Debit Card,Delivered
ORD-00283,CUST-00049,PROD-0038,2025-06-31,2,34.99,Credit Card,Delivered
ORD-00284,CUST-00145,PROD-0046,2025-03-15,1,17.99,Apple Pay,Delivered
ORD-00285,CUST-00210,PROD-0024,2025-03-15,3,19.99,PayPal,Returned
ORD-00286,CUST-00265,PROD-0041,2025-03-16,1,12.99,Debit Card,Delivered
ORD-00287,CUST-00033,PROD-0043,2025-03-16,1,34.99,Klarna,Delivered
ORD-00288,CUST-00195,PROD-0026,2025-03-16,3,-74.99,PayPal,Delivered
ORD-00289,CUST-00130,PROD-0002,2025-03-16,1,24.99,Debit Card,Delivered
ORD-00290,CUST-00018,PROD-0046,2025-03-16,5,17.99,PayPal,Delivered
ORD-00291,CUST-00411,PROD-0040,2025-03-17,1,27.50,Credit Card,Delivered
ORD-00292,CUST-00444,PROD-0041,2025-03-17,1,12.99,PayPal,Delivered
ORD-00293,CUST-00371,PROD-0026,2025-03-17,2,74.99,Apple Pay,Delivered
ORD-00294,CUST-00259,PROD-0038,2025-03-18,3,34.99,Credit Card,Delivered
ORD-00295,CUST-00458,PROD-0046,2025-03-18,5,17.99,Credit Card,Delivered
ORD-00296,CUST-00497,PROD-0040,2025-03-19,1,27.50,Klarna,Delivered
ORD-00297,CUST-00049,PROD-0028,2025-03-19,1,9.99,Klarna,Delivered
ORD-00298,CUST-00421,PROD-0048,2025-03-19,2,9.49,Credit Card,Delivered
ORD-00299,CUST-00499,PROD-0001,2025-03-20,1,59.99,PayPal,Delivered
ORD-00300,CUST-00236,PROD-0022,2025-03-21,1,12.99,PayPal,Delivered
ORD-00301,CUST-00115,PROD-0004,2025-03-21,1,44.99,Credit Card,Refunded
ORD-00302,CUST-00437,PROD-0048,2025-03-21,1,9.49,PayPal,Returned
ORD-00303,CUST-00446,PROD-0040,2025-03-21,1,27.50,Debit Card,Delivered
ORD-00304,CUST-00204,PROD-0038,2025-03-21,1,34.99,Klarna,Delivered
